baseMean,log2FoldChange,lfcSE,pvalue,padj,gene
540.6556262151133,7.1947480002423525,0.386584742782178,1.5764981723089263e-62,2.0038868268218762e-58,MIR4508
18.67716139047567,-2.811735021381469,0.19072514007279046,7.789898577033649e-50,4.9508700406337354e-46,SH2D3C
1180.6214462753603,4.474797636790638,0.3217524864185875,1.1447879712979505e-45,3.637849975792062e-42,MDK
16.539131676416122,-4.041615031155691,0.2869482324701542,1.1307774958493861e-45,3.637849975792062e-42,TEK
7.752397557940768,-3.8203651086795096,0.2742731049113802,8.063267167906222e-45,2.0498437794251197e-41,SYT15
30.466825293941923,-5.457940659289169,0.3931706163845031,2.4205285510391784e-44,5.1278897353765e-41,CA4
7.36195561690168,-2.238547178007416,0.1622382245859865,4.7107161728192e-44,8.553987610386408e-41,STARD13
14.584770545178973,-3.9347639171090036,0.291331339102493,1.8639664419543195e-42,2.96160968046017e-39,ADAMTS8
32.71246216487602,-3.0747907265426444,0.22813822771370676,3.641912590310195e-42,5.143594548381432e-39,LDB2
23.02105417783728,-4.690643772138191,0.3628135731726991,6.26695583230027e-39,7.965927558436872e-36,GPIHBP1
36.09433966014565,-2.7232429298243543,0.2137465148930362,6.795878105272767e-38,7.852946054192922e-35,CBX7
706.3577193866776,5.776543718765963,0.46403185943329034,1.9882418431371396e-37,2.106045172343015e-34,CRABP2
81.86649171188485,5.664355230249436,0.45799262588434153,4.806530333742953e-37,4.69967746709282e-34,UBE2C
6.385018102499224,-3.8032252949518672,0.30204647564904963,6.6851841752384415e-37,6.069669717961131e-34,ADRB1
48.727993082056194,4.146797655305782,0.3351114943560604,1.4678604329046696e-36,1.243864930843417e-33,TPX2
70.36815575407464,4.333950038849319,0.3566184504348197,1.4372611072522762e-35,1.1418141208927301e-32,CDC20
51.09682449351866,3.3110389086231766,0.2735446462294425,5.088142989526434e-35,3.804434443521795e-32,CCNB1
36.210262483711794,3.9792873570235674,0.3298990309139543,8.231304142962502e-35,5.812672608955353e-32,PLK1
25.725649600999144,-3.511199781637144,0.28948204013148543,1.120478157561461e-34,7.495998874086174e-32,PLAC9
17.387662759954072,-2.074125359543681,0.17085489373377258,1.8874157372495203e-34,1.1995470718089326e-31,SASH1
148.2564823270633,-4.646668740986487,0.38423913440412105,2.6556035736569777e-34,1.6073989059406594e-31,CLEC3B
95.27946892346836,-6.093030795645436,0.5070517371652592,8.673328518122329e-34,5.01121267244786e-31,AGER
12.548315357801672,-2.2509480539662357,0.18792677711394853,1.06770732772902e-33,5.618935141262289e-31,ADARB1
31.829916183193102,-1.93836063002974,0.16168012482522343,1.0334670113913352e-33,5.618935141262289e-31,CRY2
47.924189157002225,4.211509630600159,0.3564921594521235,1.1051323934510049e-33,5.618935141262289e-31,ETV4
495.11683293242123,9.340289588624845,0.7981992338292873,1.164865312367024e-33,5.694847302114324e-31,MIR3648
69.83892343951428,3.7705584306459166,0.32162711510114206,2.4825733284170805e-33,1.1687403547225745e-30,PTTG1
34.39369177976221,4.206440168651217,0.3600991629936251,5.203203664665844e-33,2.3620686350559835e-30,CCNB2
49.73488070148094,9.939763717936104,1.401859581288871,1.3110602488455208e-32,5.746512697612212e-30,PRAME
12.327753711634452,-2.850790405119764,0.24344806988138926,1.7392735606428303e-32,7.369302076443672e-30,KANK3
39.07603240786441,4.195810735150718,0.36383349737964393,2.067599949331119e-32,8.477826759983179e-30,BIRC5
13.985775316510319,-1.769975680284483,0.15122831451760096,3.7125947614352607e-32,1.4747122503938625e-29,AGTPBP1
320.8726126580853,1.255418485438339,0.10771455762823014,5.05462486769912e-32,1.835695334094958e-29,ILF2
54.8890422283347,4.785964734788349,0.41874473410610963,4.959172436425414e-32,1.835695334094958e-29,MYBL2
157.88611813418467,2.605429282409614,0.22645698802073855,5.050511985114677e-32,1.835695334094958e-29,PPP1R14B
35.02267079913613,3.887326705045816,0.33819373437366823,5.638414424328462e-32,1.9908301596566409e-29,FOXM1
17.76374034864693,-2.4454890607288866,0.21134210477463072,1.1631109684620165e-31,3.995757708140727e-29,PRKCE
32.78994288387123,-2.0746011110896303,0.17989577179350136,2.09534420944359e-31,7.008926380588809e-29,SECISBP2L
32.745727271600614,-2.3859939096111646,0.20712534073809402,2.1756025992373767e-31,7.090790933052896e-29,GALNTL4
7.12702313521679,-2.211177400035804,0.19226316336046392,2.4610410476519206e-31,7.82057318917589e-29,RASGRP2
4.024635555433269,-4.637080909382684,0.40949517355280823,6.722640489010255e-31,2.0841825184343745e-28,RSPO2
10.855165945800609,-3.372437821911869,0.29630654685898417,7.301792240633121e-31,2.2098352659687525e-28,SOX7
30.854259745931916,4.339586621757347,0.3865935979154622,9.070945790264365e-31,2.6814137660476824e-28,AURKB
107.78871381014162,-2.408346461592111,0.21146264580495971,9.469393039541698e-31,2.7355785210366937e-28,SPTBN1
179.51204302862806,-5.797032740055663,0.5132389399103342,4.230255387986642e-30,1.1949061385932934e-27,FCN3
32.60045831903695,4.305274733375997,0.3901677865617406,1.1666570666556799e-29,3.1797143562860846e-27,CDCA3
12.363782721050269,-3.5005891697393228,0.31393334005166024,1.1757263373884508e-29,3.1797143562860846e-27,SEMA3G
31.746828228984324,-3.25035194580206,0.29222531317115163,1.8843221306576816e-29,4.989920542247873e-27,ROBO4
17.105697621137168,-3.9686472554088223,0.3571019215498527,1.9926762836947114e-29,5.169164947355812e-27,RTKN2
62.53937882134009,-1.9984511586442206,0.18057018818503287,3.648565006785197e-29,9.275381960249329e-27,WFS1
