Gene,Importance
ADAMTS8,0.0982055492979599
SH2D3C,0.09809555840702028
SYT15,0.08991041592651845
TEK,0.0783783723352819
INMT,0.053028567815060816
CCBE1,0.04460761300722552
GPIHBP1,0.043750101816635086
UBE2T,0.03970220755399098
AGER,0.03265504096990726
CRY2,0.02985678203681939
WWC2,0.029013619138388798
STX11,0.028737206515516433
CCNB1,0.0278651982464334
UBE2C,0.025164076005029627
CLEC3B,0.01924341666486743
ITLN2,0.018753207236256446
PTTG1,0.016846823760995562
STARD13,0.016074664184106458
CDC20,0.015419985778382876
ADRB2,0.014794172290794973
EPAS1,0.014611172727460238
KANK3,0.014518152916603183
PECAM1,0.014430001404488786
BIRC5,0.013403732083246609
TPX2,0.012339209439481197
NUSAP1,0.01154318124712004
PRX,0.010369705042705825
GRK5,0.009982389498821149
SPN,0.009897713369856682
ARHGEF15,0.009855410561884697
FIGF,0.009619508452779386
SEMA3G,0.0056424053733135126
SOX7,0.0051880662642596765
PTPRB,0.004993910950824351
MYCT1,0.004946679348069971
SLC39A8,0.0049059396074690766
CDH5,0.0048041389504804135
CLEC1A,0.004752044959237238
SDPR,0.004689726009350741
CLEC14A,0.004687246201645291
FCN3,0.0022001590880315262
ADARB1,0.0011219781260336284
ERG,0.00036287026285341655
SLC6A4,0.00035876916232683556
PDE5A,0.00024367062894775114
VIPR1,0.0002147197746302191
SNX25,0.000140929729626602
EMCN,4.210804959963213e-05
RTKN2,1.973892789938356e-05
F11,1.2142853761388645e-05
